source_path,target_url,expected_target,reason_classification,status_code,match_type,priority,created_at,updated_at
/podcast/the-compendium-of-fascinating-things/episode/a-christmas-catastrophe-the-santa-claus-bank-robbery-blunder,/episodes/the-santa-claus-bank-robbery-blunder,/episodes/a-christmas-catastrophe-the-santa-claus-bank-robbery-blunder,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/a-deadly-american-marriage-piecing-together-jason-corbetts-final-weeks,/episodes/a-deadly-american-marriage-piecing-together-jason-corbett-s-final-weeks,/episodes/a-deadly-american-marriage-piecing-together-jason-corbetts-final-weeks,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/anish-kapoor-vs-stuart-semple-the-art-worlds-pettiest-feud,/episodes/anish-kapoor-vs-stuart-semple-the-art-world-s-pettiest-feud,/episodes/anish-kapoor-vs-stuart-semple-the-art-worlds-pettiest-feud,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/annabelle-at-the-winchesters-a-monster-mashup-of-two-spooky-stories,/episodes/annabelle-doll-and-the-winchester-mystery-house,/episodes/annabelle-at-the-winchesters-a-monster-mashup-of-two-spooky-stories,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/belle-gibson-how-a-fake-cancer-story-created-a-wellness-empire,/episodes/belle-gibson-the-fake-cancer-survivor-who-built-a-wellness-empire,/episodes/belle-gibson-how-a-fake-cancer-story-created-a-wellness-empire,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/blood-brothers-the-lyle-and-erik-menendez-story,/episodes/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,/episodes/blood-brothers-the-lyle-and-erik-menendez-story,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/cassie-chadwick-carnegies-imaginary-heir-queen-of-the-con,/episodes/cassie-chadwick-carnegie-s-imaginary-heir-queen-of-the-con,/episodes/cassie-chadwick-carnegies-imaginary-heir-queen-of-the-con,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/db-tuber-the-most-ridiculous-robbery-in-american-history,/episodes/d-b-tuber-the-most-ridiculous-robbery-in-american-history,/episodes/db-tuber-the-most-ridiculous-robbery-in-american-history,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/dirty-pops-lou-pearlman-boy-bands-and-big-scams,/episodes/lou-pearlman-boy-bands-big-lies-and-bigger-scams,/episodes/dirty-pops-lou-pearlman-boy-bands-and-big-scams,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/ed-gein-monster-murderer-and-the-real-story-behind-hollywoods-nightmares,/episodes/ed-gein-monster-murderer-and-the-real-story-behind-hollywood-s-nightmares,/episodes/ed-gein-monster-murderer-and-the-real-story-behind-hollywoods-nightmares,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/elizabeth-holmes-silicon-valleys-greatest-fraud,/episodes/elizabeth-holmes-silicon-valley-s-greatest-fraud,/episodes/elizabeth-holmes-silicon-valleys-greatest-fraud,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gabby-petito-a-van-life-dream-that-ended-in-tragedy,/episodes/gabby-petito-the-van-life-dream-that-ended-in-tragedy,/episodes/gabby-petito-a-van-life-dream-that-ended-in-tragedy,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gunthers-millions-the-unbelievable-story-and-scam-behind-the-worlds-richest-dog,/episodes/gunther-s-millions-the-unbelievable-story-and-scam-behind-the-world-s-richest-dog,/episodes/gunthers-millions-the-unbelievable-story-and-scam-behind-the-worlds-richest-dog,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/heavens-gate-cult-between-devotion-and-delusion,/episodes/heaven-s-gate-cult-between-devotion-and-delusion,/episodes/heavens-gate-cult-between-devotion-and-delusion,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/helter-skelter-how-a-beatles-song-led-to-the-manson-murders,/episodes/chaos-charles-manson-and-the-manson-murders,/episodes/helter-skelter-how-a-beatles-song-led-to-the-manson-murders,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/imelda-marcos-corruption-power-6000-pairs-of-shoes,/episodes/imelda-marcos-corruption-power-6-000-pairs-of-shoes,/episodes/imelda-marcos-corruption-power-6000-pairs-of-shoes,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/jerry-springer-behind-the-scenes-of-tvs-most-famous-fights,/episodes/jerry-springer-behind-the-scenes-of-tv-s-most-famous-fights,/episodes/jerry-springer-behind-the-scenes-of-tvs-most-famous-fights,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/julie-daubigny-feminist-icon-defying-17th-century-gender-norms,/episodes/julie-d-aubigny-the-sword-fighting-opera-singing-kick-ass-feminist-of-the-17th-century,/episodes/julie-daubigny-feminist-icon-defying-17th-century-gender-norms,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/last-breath-the-true-story-of-chris-lemmons-near-death-experience-in-the-north-sea,/episodes/last-breath-the-true-story-of-chris-lemons-near-death-experience-in-the-north-sea,/episodes/last-breath-the-true-story-of-chris-lemmons-near-death-experience-in-the-north-sea,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/lindy-chamberlain-the-dingo-the-baby-and-a-nations-shock,/episodes/lindy-chamberlain-the-dingo-the-baby-and-a-nation-s-shock,/episodes/lindy-chamberlain-the-dingo-the-baby-and-a-nations-shock,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/lorena-bobbitt-hey-john-whos-got-your-penis,/episodes/lorena-bobbitt-the-true-story-of-john-bobbitt-s-decapitated-penis,/episodes/lorena-bobbitt-hey-john-whos-got-your-penis,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/mcdonalds-hot-coffee-case-why-everything-you-think-you-know-about-stella-liebeck-is-wrong,/episodes/mcdonald-s-hot-coffee-case-why-everything-you-think-you-know-about-stella-liebeck-is-wrong,/episodes/mcdonalds-hot-coffee-case-why-everything-you-think-you-know-about-stella-liebeck-is-wrong,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/mcmillions-when-americas-biggest-game-stopped-being-a-game,/episodes/mcmillions-when-america-s-biggest-game-stopped-being-a-game,/episodes/mcmillions-when-americas-biggest-game-stopped-being-a-game,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/oceangate-titan-disaster-a-billionaires-dive-into-hubris-history-and-horror,/episodes/oceangate-titan-disaster-a-billionaire-s-dive-into-hubris-history-and-horror,/episodes/oceangate-titan-disaster-a-billionaires-dive-into-hubris-history-and-horror,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/patty-hearst-from-kidnapped-heiress-to-americas-most-wanted-fugitive,/episodes/patty-hearst-from-kidnapped-heiress-to-america-s-most-wanted-fugitive,/episodes/patty-hearst-from-kidnapped-heiress-to-americas-most-wanted-fugitive,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-elizabeth-holmes-silicon-valleys-greatest-fraud,/episodes/revisited-elizabeth-holmes-silicon-valley-s-greatest-fraud,/episodes/revisited-elizabeth-holmes-silicon-valleys-greatest-fraud,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/revisited-gunthers-millions-the-unbelievable-story-and-scam-behind-the-worlds-richest-dog,/episodes/revisited-gunther-s-millions-the-unbelievable-story-and-scam-behind-the-world-s-richest-dog,/episodes/revisited-gunthers-millions-the-unbelievable-story-and-scam-behind-the-worlds-richest-dog,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/searching-for-madeleine-mccann-a-familys-heartbreak-and-hope,/episodes/searching-for-madeleine-mccann-a-family-s-heartbreak-and-hope,/episodes/searching-for-madeleine-mccann-a-familys-heartbreak-and-hope,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/sex-cult-the-story-of-bhagwan-rajneesh-and-his-sex-cults-bioterror-plot-to-take-over-oregon,/episodes/sex-cult-the-story-of-bhagwan-rajneesh-and-his-sex-cult-s-bioterror-plot-to-take-over-oregon,/episodes/sex-cult-the-story-of-bhagwan-rajneesh-and-his-sex-cults-bioterror-plot-to-take-over-oregon,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/sixto-rodriguez-cold-fact-the-man-who-inspired-a-revolution,/episodes/sixto-rodriguez-the-sugar-man-who-inspired-a-revolution,/episodes/sixto-rodriguez-cold-fact-the-man-who-inspired-a-revolution,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/tania-head-the-911-survivor-who-wasnt-there,/episodes/tania-head-the-9-11-survivor-who-wasn-t-there,/episodes/tania-head-the-911-survivor-who-wasnt-there,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-1989-oscars-a-night-hollywood-wants-you-to-forget,/episodes/the-61st-academy-awards-the-worst-oscars-ceremony-ever,/episodes/the-1989-oscars-a-night-hollywood-wants-you-to-forget,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-acali-experiment-science-sex-and-santiago-genovess-bizarre-human-behaviour-study,/episodes/the-acali-experiment-science-sex-and-santiago-genoves-s-bizarre-human-behaviour-study,/episodes/the-acali-experiment-science-sex-and-santiago-genovess-bizarre-human-behaviour-study,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-challenger-disaster-christa-mcauliffes-legacy-beyond-the-space-shuttle-explosion,/episodes/the-challenger-disaster-christa-mcauliffe-s-legacy-beyond-the-space-shuttle-explosion,/episodes/the-challenger-disaster-christa-mcauliffes-legacy-beyond-the-space-shuttle-explosion,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-chernobyl-disaster-what-really-happened-at-012340-on-april-26th-1986,/episodes/the-chernobyl-disaster-what-really-happened-at-01-23-40-on-april-26th-1986,/episodes/the-chernobyl-disaster-what-really-happened-at-012340-on-april-26th-1986,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-clinton-lewinsky-scandal-a-vast-right-wing-conspiracy-of-secrets-lies-and-political-agendas,/episodes/the-monica-lewinsky-scandal-a-vast-right-wing-conspiracy-of-secrets-lies-and-political-agendas,/episodes/the-clinton-lewinsky-scandal-a-vast-right-wing-conspiracy-of-secrets-lies-and-political-agendas,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-curse-of-the-cecil-americas-most-dangerous-hotel,/episodes/the-curse-of-the-cecil-america-s-most-dangerous-hotel,/episodes/the-curse-of-the-cecil-americas-most-dangerous-hotel,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-execution-of-the-romanovs-from-russias-throne-to-an-unthinkable-fate,/episodes/the-execution-of-the-romanovs-from-russia-s-throne-to-an-unthinkable-fate,/episodes/the-execution-of-the-romanovs-from-russias-throne-to-an-unthinkable-fate,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,/episodes/baby-jessica-the-girl-who-fell-down-a-well-and-changed-news-forever,/episodes/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,canonical content remap,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-mushroom-murderer-erin-pattersons-deadly-family-lunch-and-the-trial-that-shocked-the-world,/episodes/the-mushroom-murderer-erin-patterson-s-deadly-family-lunch-and-the-trial-that-shocked-the-world,/episodes/the-mushroom-murderer-erin-pattersons-deadly-family-lunch-and-the-trial-that-shocked-the-world,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-satanic-panic-a-deep-dive-into-americas-biggest-child-abuse-scandal,/episodes/the-satanic-panic-a-deep-dive-into-america-s-biggest-child-abuse-scandal,/episodes/the-satanic-panic-a-deep-dive-into-americas-biggest-child-abuse-scandal,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/the-shark-arm-murder-when-a-tiger-shark-spilled-a-killers-secret,/episodes/the-shark-arm-murder-when-a-tiger-shark-spilled-a-killer-s-secret,/episodes/the-shark-arm-murder-when-a-tiger-shark-spilled-a-killers-secret,slug correction,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/who-shot-jill-dando-the-mystery-behind-her-infamous-murder,/episodes/who-killed-jill-dando-the-mystery-behind-her-infamous-murder,/episodes/who-shot-jill-dando-the-mystery-behind-her-infamous-murder,destination differs from simple pattern,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/who-wants-to-be-a-millionaire-the-coughing-scandal-exposed,/episodes/the-millionaire-cough-britain-s-biggest-game-show-scandal,/episodes/who-wants-to-be-a-millionaire-the-coughing-scandal-exposed,canonical content remap,301,exact,100,2026-03-02T16:59:32.500128+00:00,2026-03-07T22:35:51.826853+00:00
