"route","source","detail"
"/collections/british-cases","active_discovery_term","collection:british-cases"
"/collections/american-cases","active_discovery_term","collection:american-cases"
"/collections/international-cases","active_discovery_term","collection:international-cases"
"/collections/survival-stories","active_discovery_term","collection:survival-stories"
"/series/princess-diana","active_discovery_term","series:princess-diana"
"/series/titanic","active_discovery_term","series:titanic"
"/series/amanda-knox-meredith-kercher","active_discovery_term","series:amanda-knox-meredith-kercher"
"/series/emanuela-orlandi","active_discovery_term","series:emanuela-orlandi"
"/themes/murders","active_discovery_term","theme:murders"
"/themes/disappearances","active_discovery_term","theme:disappearances"
"/themes/kidnappings","active_discovery_term","theme:kidnappings"
"/themes/unsolved-mysteries","active_discovery_term","theme:unsolved-mysteries"
"/themes/wrongful-convictions","active_discovery_term","theme:wrongful-convictions"
"/themes/serial-killers","active_discovery_term","theme:serial-killers"
"/themes/scams-frauds","active_discovery_term","theme:scams-frauds"
"/themes/hoaxes","active_discovery_term","theme:hoaxes"
"/themes/scandals","active_discovery_term","theme:scandals"
"/themes/cults","active_discovery_term","theme:cults"
"/themes/media-frenzy","active_discovery_term","theme:media-frenzy"
"/themes/survival-against-the-odds","active_discovery_term","theme:survival-against-the-odds"
"/themes/conspiracies-cover-ups","active_discovery_term","theme:conspiracies-cover-ups"
"/topics/true-crime","active_discovery_term","topic:true-crime"
"/topics/history","active_discovery_term","topic:history"
"/topics/incredible-people","active_discovery_term","topic:incredible-people"
"/topics/scams-hoaxes-cons","active_discovery_term","topic:scams-hoaxes-cons"
"/topics/disasters-survival","active_discovery_term","topic:disasters-survival"
"/topics/mysteries-unexplained","active_discovery_term","topic:mysteries-unexplained"
"/topics/cults-belief-moral-panics","active_discovery_term","topic:cults-belief-moral-panics"
"/topics/pop-culture-entertainment","active_discovery_term","topic:pop-culture-entertainment"
"/blog/category/cults-belief-moral-panics","legacy_blog_category","db:categories"
"/blog/category/disasters-survival","legacy_blog_category","db:categories"
"/blog/category/history","legacy_blog_category","db:categories"
"/blog/category/incredible-people","legacy_blog_category","db:categories"
"/blog/category/mysteries-unexplained","legacy_blog_category","db:categories"
"/blog/category/pop-culture-entertainment","legacy_blog_category","db:categories"
"/blog/category/scams-hoaxes-cons","legacy_blog_category","db:categories"
"/blog/category/true-crime","legacy_blog_category","db:categories"
"/blog/topic/conspiracies-cover-ups","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/cults","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/disappearances","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/hoaxes","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/kidnappings","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/media-frenzy","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/murders","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/scams-frauds","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/scandals","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/serial-killers","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/survival-against-the-odds","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/unsolved-mysteries","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/topic/wrongful-convictions","legacy_blog_topic_cluster","db:topic_clusters"
"/blog/series/amanda-knox-meredith-kercher","legacy_blog_series","db:series"
"/blog/series/american-cases","legacy_blog_series","db:series"
"/blog/series/british-cases","legacy_blog_series","db:series"
"/blog/series/emanuela-orlandi","legacy_blog_series","db:series"
"/blog/series/international-cases","legacy_blog_series","db:series"
"/blog/series/princess-diana","legacy_blog_series","db:series"
"/blog/series/survival-stories","legacy_blog_series","db:series"
"/blog/series/titanic","legacy_blog_series","db:series"
"app/(public)/topics/[slug]/page.tsx","route_file","app route"
"app/(public)/topics/page.tsx","route_file","app route"
"app/(public)/blog/tag/[tagSlug]/page.tsx","route_file","app route"
"app/(public)/events/[slug]/page.tsx","route_file","app route"
"app/(public)/events/page.tsx","route_file","app route"
"app/(public)/cases/[slug]/page.tsx","route_file","app route"
"app/(public)/cases/page.tsx","route_file","app route"
"app/(public)/blog/series/[seriesSlug]/page.tsx","route_file","app route"
"app/(public)/series/[slug]/page.tsx","route_file","app route"
"app/(public)/series/page.tsx","route_file","app route"
"app/(public)/themes/[slug]/page.tsx","route_file","app route"
"app/(public)/themes/page.tsx","route_file","app route"
"app/(public)/blog/category/[categorySlug]/page.tsx","route_file","app route"
"app/(public)/blog/topic/[topicSlug]/page.tsx","route_file","app route"
"app/(public)/people/[slug]/page.tsx","route_file","app route"
"app/(public)/people/page.tsx","route_file","app route"
"app/(public)/collections/page.tsx","route_file","app route"
"app/(public)/collections/[slug]/page.tsx","route_file","app route"
"lib/episodes.ts:443","internal_reference","if (term.term_type === 'topic') return `/topics/${term.slug}`;"
"lib/episodes.ts:444","internal_reference","if (term.term_type === 'theme') return `/themes/${term.slug}`;"
"lib/episodes.ts:445","internal_reference","if (term.term_type === 'entity' && term.entity_subtype === 'person') return `/people/${term.slug}`;"
"lib/episodes.ts:446","internal_reference","if (term.term_type === 'case') return `/cases/${term.slug}`;"
"lib/episodes.ts:447","internal_reference","if (term.term_type === 'event') return `/events/${term.slug}`;"
"lib/episodes.ts:448","internal_reference","if (term.term_type === 'collection') return `/collections/${term.slug}`;"
"lib/episodes.ts:449","internal_reference","if (term.term_type === 'series') return `/series/${term.slug}`;"
"lib/episodes.ts:1441","internal_reference","items.push({ name: category.name, href: `/blog/category/${category.slug}` });"
"components/blog/blog-post-card.tsx:59","internal_reference","<Link href={`/blog/category/${category.slug}`} className={`inline-flex rounded-full px-3 py-1 text-xs font-black uppercase tracking-wide transition ${categoryClass}`}>"
"components/blog/blog-post-card.tsx:94","internal_reference","<Link href={`/blog/category/${category.slug}`} className={`inline-flex rounded-full px-3 py-1 text-xs font-black uppercase tracking-wide transition ${categoryClass}`}>"
"app/(public)/topics/[slug]/page.tsx:33","internal_reference","canonical: `/topics/${params.slug}`"
"app/(public)/blog/tag/[tagSlug]/page.tsx:14","internal_reference","alternates: { canonical: `/blog/tag/${params.tagSlug}` },"
"app/(public)/blog/tag/[tagSlug]/page.tsx:28","internal_reference","basePath={`/blog/tag/${archive.term.slug}`}"
"lib/blog/data.ts:825","internal_reference","if (kind === 'categories') return `/blog/category/${slug}`;"
"lib/blog/data.ts:826","internal_reference","if (kind === 'tags') return `/blog/tag/${slug}`;"
"lib/blog/data.ts:827","internal_reference","if (kind === 'series') return `/blog/series/${slug}`;"
"lib/blog/data.ts:828","internal_reference","if (kind === 'topic_clusters') return `/blog/topic/${slug}`;"
"lib/blog/data.ts:889","internal_reference","{ kind: 'categories', prefix: '/blog/category/' },"
"lib/blog/data.ts:890","internal_reference","{ kind: 'tags', prefix: '/blog/tag/' },"
"lib/blog/data.ts:891","internal_reference","{ kind: 'series', prefix: '/blog/series/' },"
"lib/blog/data.ts:892","internal_reference","{ kind: 'topic_clusters', prefix: '/blog/topic/' },"
"lib/blog/data.ts:2227","internal_reference","return kind === 'series' ? `/series/${data.slug}` : `/topics/${data.slug}`;"
"app/(public)/themes/[slug]/page.tsx:33","internal_reference","canonical: `/themes/${params.slug}`"
"app/(public)/blog/topic/[topicSlug]/page.tsx:13","internal_reference","alternates: { canonical: `/blog/topic/${params.topicSlug}` }"
"app/(public)/blog/topic/[topicSlug]/page.tsx:26","internal_reference","basePath={`/blog/topic/${archive.term.slug}`}"
"app/(public)/collections/[slug]/page.tsx:33","internal_reference","canonical: `/collections/${params.slug}`"
"app/(public)/blog/category/[categorySlug]/page.tsx:13","internal_reference","alternates: { canonical: `/blog/category/${params.categorySlug}` }"
"app/(public)/blog/category/[categorySlug]/page.tsx:26","internal_reference","basePath={`/blog/category/${archive.term.slug}`}"
"components/blog/admin-taxonomies-manager.tsx:75","internal_reference","if (kind === 'categories') return `/blog/category/${slug}`;"
"components/blog/admin-taxonomies-manager.tsx:76","internal_reference","if (kind === 'tags') return `/blog/tag/${slug}`;"
"components/blog/admin-taxonomies-manager.tsx:77","internal_reference","if (kind === 'series') return `/blog/series/${slug}`;"
"components/blog/admin-taxonomies-manager.tsx:78","internal_reference","if (kind === 'topic_clusters') return `/blog/topic/${slug}`;"
"app/(public)/blog/series/[seriesSlug]/page.tsx:13","internal_reference","alternates: { canonical: `/blog/series/${params.seriesSlug}` }"
"app/(public)/blog/series/[seriesSlug]/page.tsx:26","internal_reference","basePath={`/blog/series/${archive.term.slug}`}"
"app/(public)/series/[slug]/page.tsx:33","internal_reference","canonical: `/series/${params.slug}`"